Geneid	CeACtrl	CeAMor	dStrCtrl	dStrMor	NAcCtrl	NAcMor
Dab2	7	3	2	4	5	13
Gm16311	0	0	0	0	0	0
C9	0	0	0	0	0	0
Fyb	0	0	7	8	5	2
LOC102632231	0	0	0	0	0	0
Rictor	497	475	549	359	436	396
Osmr	2	2	5	0	0	0
Gm30559	0	0	0	0	0	0
Gm30663	0	0	0	0	0	0
Gm30971	1	0	0	0	0	0
Lifr	181	195	111	74	132	117
Egflam	0	0	0	0	2	1
Gm41263	0	0	0	0	0	0
Gm41262	0	0	0	0	0	0
Gm41264	0	0	0	0	0	0
Gdnf	14	9	5	13	9	2
Wdr70	77	39	60	54	35	29
LOC105245882	5	6	7	21	2	6
Nup155	148	107	144	137	200	116
2410089E03Rik	255	235	404	372	453	373
Gm41265	0	2	2	0	0	0
Nipbl	1105	962	1020	986	1189	983
LOC102634078	23	15	33	16	32	23
Gm31282	28	21	23	29	36	47
LOC108168230	0	0	0	0	0	0
Slc1a3	156	176	275	244	353	330
Gm31340	0	0	0	0	0	0
Ranbp3l	0	3	5	14	3	0
LOC108168234	0	0	0	0	0	1
Nadk2	84	48	56	90	75	125
Skp2	7	40	13	22	25	29
Lmbrd2	458	425	338	246	411	399
Ugt3a1	0	0	0	0	0	0
Ugt3a2	0	0	0	0	0	0
Capsl	5	1	8	0	2	0
Il7r	3	0	0	0	0	0
Spef2	0	3	0	0	0	0
Prlr	71	81	9	10	73	70
Gm41268	0	1	0	0	1	0
Gm41269	0	0	0	0	0	0
Agxt2	0	0	0	0	0	0
Dnajc21	52	51	15	62	48	66
Brix1	96	80	86	84	73	52
Rad1	22	27	39	28	22	27
Ttc23l	0	0	0	0	0	0
Rai14	20	42	4	11	14	3
Gm10389	0	3	0	2	0	1
4930556M19Rik	0	0	0	0	0	0
Gm19276	0	0	3	0	0	0
Gm34315	0	0	0	0	0	0
C1qtnf3	2	2	5	2	1	0
Amacr	23	23	4	6	13	5
Slc45a2	0	0	2	0	0	0
Rxfp3	5	10	0	0	8	6
Adamts12	0	2	0	1	0	1
Gm34444	0	0	0	0	0	0
Tars	84	48	53	63	36	66
Gm41271	0	0	0	0	0	0
Gm41272	0	0	0	0	0	0
Gm34501	0	0	0	0	0	0
Npr3	0	0	0	0	7	8
Gm5144	0	0	0	0	0	0
Gm34618	0	0	0	0	0	0
1700047G03Rik	0	0	0	3	0	0
Sub1	706	548	500	501	541	430
Gm34759	2	0	0	0	0	0
Zfr	1705	1396	1239	948	1404	1225
Mir1898	4	0	8	12	3	3
Gm2573	17	10	11	6	2	0
Mtmr12	55	70	79	63	80	47
Golph3	183	159	197	148	155	167
Pdzd2	228	367	451	491	366	384
Gm41273	4	17	86	43	80	25
Gm17756	0	0	1	0	0	0
Gm41274	0	0	0	0	0	0
6030458C11Rik	104	128	124	106	141	122
Drosha	349	299	294	215	357	269
Cdh6	278	217	139	67	159	143
Gm35018	1	0	4	1	2	1
LOC108168237	42	41	40	55	33	36
LOC108168242	0	0	2	0	1	0
LOC102638878	0	0	0	0	0	0
Gm41276	0	0	0	0	0	0
Cdh9	138	98	243	110	92	61
Gm41277	0	0	0	0	0	0
4921515E04Rik	0	0	1	0	0	0
C030047K22Rik	1	0	0	6	3	16
Cdh10	183	156	163	196	227	201
Gm35496	0	0	0	0	0	0
Cdh12	105	32	151	147	148	95
Acot10	1	1	0	7	2	0
Gm41278	0	0	0	0	0	0
Cdh18	157	181	128	84	130	110
Gm5803	2	0	8	8	3	7
Gm35827	0	0	0	0	0	0
Gm2824	17	18	7	9	39	14
Gm35996	0	0	0	0	0	0
4930445E18Rik	0	0	0	0	0	0
Gm36555	0	0	0	0	0	0
Basp1	484	473	146	173	312	356
Gm5468	0	2	0	1	4	0
Myo10	35	52	95	117	67	83
Fam134b	181	119	159	113	155	123
Mir7212	0	0	0	0	0	0
Zfp622	97	83	49	65	63	44
Gm41279	0	0	0	0	0	0
March11	6	8	6	16	6	5
Gm36790	5	3	7	10	9	11
Fbxl7	1	11	0	0	0	7
Gm36899	0	1	0	3	2	1
Ank	328	338	316	229	342	262
Gm29901	0	5	2	5	8	11
Mir7117	0	0	2	0	0	0
Otulin	15	44	28	24	30	21
Fam105a	37	55	148	93	35	20
Trio	811	893	879	761	650	592
Gm29975	33	125	196	255	149	98
Gm41280	5	8	4	1	6	1
Gm31458	0	0	1	0	0	0
Dnah5	94	84	1	3	6	3
Gm31687	0	0	0	0	0	0
Gm41281	0	0	0	0	0	0
Mir3964	0	0	0	0	0	0
Ctnnd2	402	359	569	460	439	368
Gm31953	29	13	85	56	45	31
Gm41284	46	107	187	188	106	118
Gm31841	0	18	13	11	15	4
Gm41283	12	38	74	94	22	27
4930430F21Rik	0	0	0	0	0	1
Gm32011	0	0	0	0	0	0
Gm32070	0	0	0	0	0	0
Dap	11	6	5	3	3	7
Gm41285	3	6	1	5	1	1
Ankrd33b	78	119	227	177	126	78
Gm41286	0	0	0	0	0	0
Ropn1l	0	0	0	0	0	0
March6	1162	1300	862	824	1318	1000
Gm41287	7	7	1	8	13	3
Cmbl	19	16	2	0	9	4
Cct5	294	304	210	199	235	227
Fam173b	9	5	16	10	16	18
Gm32383	0	0	0	0	0	0
Gm32499	0	0	0	0	2	0
Tas2r119	0	0	0	0	0	0
Snhg18	0	4	0	10	0	0
Snord123	0	0	0	0	0	0
Sema5a	307	249	93	76	216	210
Gm32562	4	11	16	0	6	0
Gm41289	0	0	0	0	0	0
Gm32618	12	17	5	4	3	4
Sdc2	333	305	187	144	375	302
Gm32764	0	0	0	0	0	0
Cpq	2	0	7	8	3	5
1700084J12Rik	0	0	0	0	0	0
4930592A05Rik	0	0	0	0	0	0
Tspyl5	189	202	129	102	202	169
Gm41290	0	0	0	0	0	0
Gm41291	3	10	0	8	4	0
Mtdh	596	465	482	350	564	458
Gm38594	8	9	0	8	2	6
Laptm4b	36	59	51	35	106	49
Matn2	167	160	60	41	114	135
9430069I07Rik	0	13	0	0	0	4
Rpl30	78	71	59	64	92	54
Erich5	4	11	0	0	2	0
Rida	44	15	28	27	55	9
Pop1	16	68	52	77	59	25
Nipal2	45	48	32	16	55	38
4930413F20Rik	2	4	8	6	3	3
Gm32970	9	12	12	15	14	6
Kcns2	184	193	197	161	132	186
Stk3	60	32	37	16	34	65
Gm33497	0	0	0	0	0	0
Osr2	0	0	0	0	0	0
BC048602	0	0	0	0	0	0
Gm33584	0	0	0	0	0	0
Vps13b	644	485	1060	907	925	720
Mir599	0	0	0	0	2	0
Mir875	0	0	3	0	0	0
Gm41292	31	21	20	38	34	26
Cox6c	245	195	205	169	216	200
Rgs22	0	1	8	4	2	9
Fbxo43	0	0	0	2	0	0
Polr2k	11	2	12	7	7	10
Spag1	44	55	102	98	78	94
Gm41293	0	0	0	2	7	0
Rnf19a	135	115	186	94	169	81
Mir8097	0	0	0	0	0	0
Gm41294	0	0	0	0	0	0
Gm38600	0	0	0	0	0	0
Gm33826	0	0	0	0	0	0
Gm33936	0	2	0	0	0	0
Gm34150	0	2	3	5	2	0
Gm34316	0	0	4	0	2	5
Ankrd46	267	317	207	160	248	187
Snx31	0	0	15	1	0	0
Pabpc1	526	396	364	366	419	355
LOC108168240	3	15	3	2	4	8
Gm41296	0	0	0	0	0	0
Gm41297	0	1	0	0	0	0
A830021M18Rik	11	0	0	1	0	2
Ywhaz	2598	2410	2026	1582	2249	1938
Gm41298	11	4	0	0	1	0
Gm34472	0	0	0	0	0	0
Gm41299	0	0	0	0	0	0
Gm10384	0	0	0	0	2	0
Gm34529	0	0	0	0	0	0
Gm41300	0	0	1	0	0	0
Gm34590	2	0	3	4	3	9
Zfp706	488	492	501	378	618	453
LOC108168238	8	4	0	0	14	3
Gm34724	3	0	0	0	2	0
Gm41302	0	0	0	0	1	0
Gm41301	0	2	5	2	4	0
Gm34820	0	0	0	0	0	0
Gm41303	0	0	0	0	0	0
LOC105245924	0	0	0	0	0	0
Grhl2	12	25	8	9	6	1
Ncald	655	497	160	70	176	215
Gm15941	1	6	3	0	1	0
4930447A16Rik	4	9	3	3	0	0
Gm41305	17	24	10	4	12	8
Gm41304	0	1	0	1	0	1
Gm15942	0	0	1	0	3	0
Gm35019	0	0	0	2	2	0
Rrm2b	163	113	112	72	147	114
LOC108168233	3	1	6	0	1	4
Ubr5	1525	1602	1463	1388	1635	1488
Gm35081	0	1	0	0	0	0
Gm35167	0	0	0	0	7	0
Odf1	0	0	0	0	0	0
Klf10	31	35	58	28	27	32
Gm35248	5	0	6	5	2	1
Gm41306	0	0	0	0	0	0
Gm41307	0	0	0	0	2	0
G930009F23Rik	0	0	0	0	0	0
Gm41308	0	1	0	0	0	4
Azin1	363	258	292	285	372	280
Mir6951	0	0	2	2	0	0
2310043O21Rik	0	0	0	0	0	0
Gm41309	0	0	0	0	0	0
1100001I12Rik	0	0	0	0	0	0
Atp6v1c1	397	356	226	248	406	338
Borg	6	0	4	0	0	0
Baalc	74	111	85	111	105	118
Gm33123	0	0	0	0	0	0
Gm26704	0	0	0	0	0	0
Fzd6	0	0	9	3	2	0
Gm41310	0	0	0	0	0	0
Gm7194	0	0	0	0	0	0
Cthrc1	3	0	14	0	6	5
Slc25a32	37	62	20	57	52	37
Dcaf13	119	51	76	93	108	61
Rims2	706	676	952	998	989	855
Dcstamp	0	0	0	1	1	0
Dpys	0	0	0	0	0	0
Gm16291	0	0	0	1	2	0
Lrp12	261	228	274	168	226	154
AU022793	0	0	0	0	0	0
Gm33251	0	0	0	0	0	0
9330182O14Rik	0	0	0	0	0	0
Gm33301	0	0	0	0	0	0
Gm41311	0	0	0	0	0	0
Gm16294	0	0	0	0	0	0
Gm33431	1	0	2	0	2	0
Zfpm2	14	15	29	17	31	17
Gm33353	2	15	3	0	11	0
LOC108168223	0	0	0	0	0	0
Gm33557	0	0	0	0	0	0
Gm41312	0	0	0	0	0	0
Oxr1	299	239	304	291	362	308
Abra	1	0	3	0	10	0
Angpt1	5	8	7	0	7	12
Gm41313	0	0	0	1	1	0
Gm41314	0	0	0	0	1	0
LOC108168227	0	0	0	0	0	0
Gm41315	0	0	0	0	0	0
Rspo2	0	2	0	5	4	9
Eif3e	317	265	231	201	246	206
Gm33743	0	0	0	0	0	0
Gm10373	0	0	0	0	0	0
Emc2	133	75	130	136	148	90
Gm41316	1	0	2	1	4	0
Tmem74	21	19	10	4	40	29
Trhr	174	67	19	6	198	111
Gm33793	0	0	0	0	0	0
Nudcd1	113	66	95	76	109	63
Eny2	159	172	131	139	215	130
Pkhd1l1	3	4	7	6	11	9
Ebag9	94	105	126	88	124	70
Sybu	214	199	193	154	203	164
Gm33908	29	25	28	36	30	27
2310069G16Rik	4	4	4	24	6	8
Gm33852	12	6	5	19	18	13
A930017M01Rik	56	48	29	42	48	23
Kcnv1	228	230	468	361	360	311
Gm41317	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0
4930523O13Rik	0	0	0	0	0	0
4930548G14Rik	0	0	0	0	0	0
Csmd3	1165	1260	1540	1319	1399	1136
Gm34336	0	0	1	7	0	0
Gm41318	0	0	0	0	0	0
Trps1	206	165	318	313	254	260
Mir1907	0	0	0	0	0	0
Gm34446	0	0	0	0	0	0
Gm19303	0	0	0	2	0	0
Gm34503	0	0	0	0	0	0
Gm34562	0	0	0	0	0	0
Gm41320	2	1	3	1	0	3
Eif3h	168	173	128	129	109	115
Utp23	27	31	14	11	13	10
Gm34678	0	0	0	0	0	0
Rad21	346	357	263	184	422	295
Aard	0	5	4	3	7	2
Slc30a8	0	0	0	0	0	0
Gm41321	0	0	0	0	0	0
Gm41322	0	0	0	0	0	0
Med30	39	16	21	9	21	2
Gm41323	0	1	0	0	0	0
Gm34794	0	0	0	0	0	0
Ext1	119	129	107	105	104	106
Samd12	496	372	295	337	471	327
Mir28c	0	13	6	16	2	5
Tnfrsf11b	32	5	2	0	0	0
Colec10	0	0	0	2	0	0
Mal2	389	292	383	271	284	228
Nov	37	17	7	12	13	2
Enpp2	97	73	138	105	118	87
Gm26684	0	2	0	0	0	0
Gm2491	0	0	0	0	0	0
Taf2	152	149	191	181	183	157
Dscc1	0	7	0	0	0	0
Gm41325	0	0	1	0	0	0
Gm9920	0	0	2	1	0	0
Deptor	28	10	105	103	32	36
Gm35312	0	0	0	0	0	0
Col14a1	4	9	7	5	11	1
LOC108168235	0	0	0	0	1	0
Gm35470	4	7	2	9	8	0
Mrpl13	53	44	51	47	36	35
Mtbp	4	9	9	8	14	9
Sntb1	18	16	0	2	6	3
LOC108168241	0	0	0	0	0	0
Gm41326	0	0	0	0	0	0
Has2	0	0	0	0	0	0
Has2os	0	0	0	0	0	0
Gm41327	0	0	0	0	0	0
Gm38516	0	0	0	0	0	0
Slc22a22	0	0	0	0	0	0
Gm35627	0	0	0	0	0	0
Gm41328	0	0	0	0	0	0
Gm35682	0	0	0	0	0	0
Gm35771	0	0	0	0	0	0
Zhx2	38	26	57	40	81	75
Derl1	173	140	123	92	166	96
Tbc1d31	12	30	16	16	21	37
Fam83a	0	0	0	0	0	0
LOC108168236	0	1	0	6	0	0
9130401M01Rik	56	33	46	33	44	10
Zhx1	387	306	336	247	370	256
Atad2	23	25	55	29	52	16
Wdyhv1	11	21	40	27	21	19
Gm36112	0	8	0	1	0	0
Fbxo32	21	23	136	116	60	38
Gm36193	0	0	0	7	2	0
Klhl38	1	1	1	5	5	0
Anxa13	0	0	0	0	1	0
Fam91a1	377	298	251	222	312	276
Fer1l6	0	0	0	0	0	0
Gm36451	0	0	0	0	0	0
Gm41329	0	0	0	0	0	1
Tmem65	154	163	88	69	213	142
Trmt12	47	32	28	27	29	37
Gm36509	0	0	0	0	0	0
Rnf139	138	121	106	77	126	98
Tatdn1	40	57	97	51	77	58
Gm36559	32	20	28	41	34	23
Ndufb9	124	88	61	56	90	73
Mtss1	118	91	98	82	124	151
Gm41330	12	1	14	13	1	3
Gm36617	0	0	0	0	0	0
Zfp572	0	0	0	0	0	0
Sqle	89	121	61	47	107	88
E430025E21Rik	116	166	128	97	127	136
Nsmce2	80	74	85	60	29	35
Gm36677	7	1	1	1	1	0
Trib1	4	6	11	24	13	9
Gm19510	0	0	0	0	0	0
Gm36819	0	0	0	0	0	0
4933412E24Rik	0	0	0	0	0	0
Gm41331	0	0	0	0	0	0
Fam84b	8	4	65	32	7	3
9930014A18Rik	8	0	4	4	5	2
A1bg	0	0	0	0	0	0
4930402D18Rik	0	0	0	0	0	0
Gm38563	7	0	0	1	0	0
Gm29904	0	0	0	0	0	0
D030024E09Rik	0	0	0	0	0	0
Myc	22	21	6	14	5	2
Pvt1	118	50	62	46	60	41
H2afy3	0	3	0	2	9	0
Gm41333	0	0	0	0	0	0
Gm30113	0	0	0	0	0	0
Gm41334	0	0	0	0	0	0
Gm30159	0	0	0	0	0	0
Gm41335	0	0	0	0	0	0
Gm20740	0	0	0	0	0	0
4930449C09Rik	0	0	0	0	0	0
Gm41336	0	0	0	0	0	0
Gsdmc	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0
Gsdmcl1	0	0	0	0	0	0
Gsdmc3	0	0	0	0	0	0
Gsdmcl2	0	0	0	0	0	0
Gsdmc4	0	0	0	0	0	0
Gsdmcl-ps	0	5	12	6	4	4
Fam49b	499	417	522	466	597	411
Asap1	142	112	230	196	156	151
Gm20717	2	1	23	10	6	19
Gm30563	0	2	0	1	2	0
LOC108168231	0	0	0	0	0	0
Gm30632	0	0	0	0	0	0
Gm30691	0	0	0	0	0	0
Adcy8	22	17	12	23	49	47
Gm30752	0	0	6	5	0	8
Gm41339	0	1	0	0	0	0
Efr3a	166	184	77	79	154	159
Gm41338	39	41	42	18	22	16
Oc90	0	0	0	3	0	0
Hhla1	0	0	0	0	0	0
Kcnq3	737	748	904	940	722	655
Gm27242	5	19	18	11	8	26
Gm30929	0	0	8	3	1	0
Gm41340	0	0	0	0	0	0
Lrrc6	54	38	37	43	58	22
Gm31006	0	0	0	0	0	0
Tmem71	0	0	0	0	0	0
Phf20l1	320	258	437	469	433	326
Tg	1	0	0	0	0	0
Sla	0	2	7	5	0	3
LOC108168239	0	0	0	0	0	0
Wisp1	3	0	0	1	0	1
Ndrg1	43	31	83	61	59	37
LOC105245970	0	0	0	0	0	0
Gm31286	0	0	0	0	0	0
Gm31342	0	0	0	0	0	0
St3gal1	37	45	18	23	64	55
Gm31400	0	8	1	2	15	3
1700012I11Rik	0	0	0	0	0	0
Zfat	47	48	78	101	68	55
Mir30b	0	0	1	1	2	3
Mir30d	0	1	1	7	15	2
Gm41341	0	0	0	0	0	0
Khdrbs3	189	156	164	99	213	116
Gm31550	7	11	11	15	6	16
4930504C09Rik	0	0	0	0	0	0
Gm19782	0	0	0	0	0	0
Fam135b	306	273	420	491	412	270
Col22a1	0	0	0	0	0	0
Kcnk9	40	44	25	32	57	37
Trappc9	164	164	133	87	146	149
Peg13	507	512	437	328	525	452
Gm41343	2	0	2	10	3	5
Gm31665	5	14	0	6	5	5
Chrac1	12	7	4	3	2	11
Ago2	434	471	368	345	449	406
Gm31725	4	5	7	3	7	1
Ptk2	415	356	480	343	408	316
Mir151	0	3	2	1	0	1
Gm41344	11	27	22	25	27	31
Gm10362	0	0	0	0	1	0
Dennd3	11	4	7	0	1	2
Slc45a4	86	47	44	44	75	67
Gpr20	0	0	0	1	0	0
Ptp4a3	18	26	28	24	28	22
Mroh5	0	0	2	3	0	0
Gm3244	9	2	1	0	3	0
LOC102634429	3	6	2	0	8	8
Gm32355	0	0	0	0	0	0
Gm32405	0	0	0	2	0	0
Gm32918	2	8	4	5	5	15
LOC105245978	7	15	16	5	4	5
Gm41345	0	0	0	0	0	0
Gm32839	0	2	0	0	0	0
Gm32168	4	0	12	3	3	1
Adgrb1	518	478	492	384	496	543
Mroh4	0	0	0	0	0	0
Arc	59	64	130	234	77	55
Gm32994	0	1	5	1	3	2
Jrk	34	48	60	31	35	35
4933427E11Rik	0	0	0	0	0	0
Psca	0	0	0	0	0	0
Them6	22	39	26	52	26	30
Slurp1	0	5	1	3	1	4
Lypd2	0	0	0	0	0	0
Gm33124	0	0	0	0	0	0
Slurp2	0	0	0	0	0	0
Lynx1	57	124	219	200	123	102
Ly6d	0	0	0	0	0	0
D730001G18Rik	0	0	0	0	0	0
Gm33174	0	0	0	0	0	0
Ly6k	0	0	0	0	0	0
Gml	0	0	0	0	0	0
Gml2	0	0	0	0	0	0
Cyp11b1	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0
Gm41347	0	0	0	0	0	0
2010109I03Rik	0	0	0	0	0	0
Gm39556	0	0	0	0	0	0
Ly6e	51	99	56	41	85	49
Gm28068	0	0	0	0	0	0
Ly6i	0	1	0	0	0	0
Gm41348	0	0	0	0	0	0
Ly6a	0	0	1	0	3	0
Ly6c1	0	0	0	2	0	0
Ly6c2	0	0	0	0	0	0
I830127L07Rik	0	0	0	0	0	0
Ly6g	0	0	0	0	0	0
BC025446	0	0	0	0	0	0
Ly6f	0	0	0	0	0	0
Gm28114	0	0	0	0	0	0
9030619P08Rik	0	0	0	4	0	0
Gm20654	0	0	0	0	0	0
Gm34531	0	0	0	0	0	0
Gm34593	0	0	0	0	0	0
Gm34646	0	0	0	0	0	0
Ly6h	261	186	91	59	188	233
Gpihbp1	0	0	0	0	0	0
Zfp41	44	30	16	12	23	12
LOC108168244	0	0	0	0	0	0
Gm38506	1	0	1	0	14	2
2810039B14Rik	1	2	1	3	7	0
LOC108168243	3	0	0	5	5	0
Top1mt	11	24	13	4	35	22
Rhpn1	12	17	3	7	3	13
Mafa	2	0	2	6	0	3
Zc3h3	10	11	22	20	20	14
Gm34851	17	5	1	1	1	4
LOC108168248	2	0	2	8	1	2
Gsdmd	1	0	0	0	0	0
Mroh6	0	0	0	3	1	0
Naprt	0	0	0	3	1	9
Eef1d	89	93	46	47	51	60
Tigd5	30	8	14	16	14	36
Pycrl	18	18	9	5	5	11
Tsta3	13	21	40	21	21	18
Zfp623	29	31	17	39	30	24
Zfp707	5	5	11	4	10	8
Ccdc166	6	29	23	14	19	15
Mapk15	2	1	0	0	0	1
Fam83h	20	25	11	4	14	0
K230010J24Rik	2	0	0	0	1	0
LOC108168259	0	0	0	0	0	0
Scrib	53	15	38	31	55	18
Mir6952	0	0	0	0	0	0
Puf60	144	159	137	84	154	99
Nrbp2	34	31	41	29	67	50
Gm41349	0	0	0	0	0	0
Eppk1	0	0	0	0	0	0
LOC108168258	0	0	0	0	0	0
BC024139	4	0	0	0	0	0
Gm35087	0	0	0	0	0	0
Plec	384	327	544	374	295	277
Mir1942	0	1	0	0	2	0
Parp10	0	0	1	0	5	8
Grina	388	402	442	338	375	396
Mir6953	0	0	0	0	0	0
Spatc1	3	0	0	0	0	0
Mirt2	0	0	0	0	0	0
Mir3079	0	0	0	0	0	0
Smpd5	0	0	0	0	0	0
Oplah	2	6	7	5	10	2
Exosc4	11	18	16	5	15	11
Gpaa1	19	22	30	25	27	44
Cyc1	56	65	45	24	31	52
Sharpin	43	72	41	37	37	36
Maf1	70	60	34	28	53	65
Gm35339	10	7	11	3	12	4
Hgh1	12	19	17	1	11	16
Tssk5	0	2	0	0	8	0
Mroh1	32	54	34	28	76	64
Mir6954	0	0	0	0	0	0
Bop1	43	38	50	17	45	27
Scx	0	0	5	4	5	2
Hsf1	28	31	33	21	25	37
Dgat1	18	26	39	5	28	28
Scrt1	46	76	133	98	117	79
LOC108168260	42	63	96	49	70	36
Gm8140	2	2	3	0	3	0
Fbxl6	18	32	13	21	35	34
Slc52a2	29	55	39	35	51	19
Gm35739	0	0	0	0	4	0
Adck5	30	5	3	8	11	27
Cpsf1	70	73	75	32	65	73
Slc39a4	0	0	0	0	0	0
Vps28	74	71	44	18	55	67
Tonsl	0	2	5	4	7	3
Cyhr1	223	229	269	224	229	174
Kifc2	71	74	80	63	61	80
Foxh1	0	0	0	1	0	0
Ppp1r16a	41	34	15	17	56	27
Gpt	10	0	11	0	4	10
Mfsd3	0	0	4	2	6	6
Recql4	0	3	1	3	0	6
Lrrc14	42	27	48	28	57	45
Lrrc24	76	37	29	30	36	53
C030006K11Rik	14	15	3	5	12	22
Arhgap39	92	107	116	55	131	93
Gm41350	0	0	0	0	0	0
Zfp251	44	35	47	56	45	60
Zfp7	22	30	8	5	24	17
Commd5	26	0	19	8	4	11
Rpl8	175	206	134	102	154	172
Zfp647	5	2	8	2	1	9
LOC108168261	0	0	0	0	0	0
1110038F14Rik	28	16	20	14	19	12
Gm35933	6	7	0	2	3	1
Mb	0	0	1	0	0	0
Apol6	0	0	0	0	0	2
Rbfox2	783	805	927	814	1010	708
1700109K24Rik	36	54	85	62	37	43
Gm41352	4	0	2	1	0	0
LOC102639762	0	0	0	1	0	0
Gm41354	0	0	0	0	0	0
Gm41353	0	0	0	0	0	0
Apol7a	0	0	0	0	0	0
Apol9a	0	0	0	0	0	0
Gm36194	0	0	0	0	0	0
Apol7b	0	0	0	0	0	0
Apol10a	0	0	0	0	0	0
Apol11a	0	0	0	0	0	0
Apol7c	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0
Apol10b	0	0	0	0	0	0
Gm36245	0	0	0	0	0	0
Apol11b	0	0	0	0	0	0
Apol7e	0	0	0	0	0	0
Gm36329	0	0	0	0	0	0
Apol9b	0	0	0	0	0	0
Apol8	5	6	7	6	12	6
Myh9	145	168	148	113	128	115
Txn2	60	56	50	45	33	56
Foxred2	66	51	19	40	53	48
Eif3d	75	109	71	80	65	111
Cacng2	88	65	84	94	109	78
LOC108168245	5	4	32	45	11	11
LOC102640344	8	20	72	34	17	29
Ift27	14	19	24	14	10	14
Pvalb	0	2	10	10	4	0
Ncf4	0	0	0	0	0	0
Csf2rb2	0	2	0	0	0	0
Mir7676-1	0	0	0	0	0	0
Csf2rb	0	0	0	0	0	0
Mir7676-2	0	0	0	0	0	0
Tex33	0	0	0	0	0	0
Tst	16	6	1	0	2	2
Mpst	19	8	5	2	25	9
Gm41355	0	0	0	0	0	0
Gm36644	0	0	1	0	0	0
Kctd17	56	41	176	105	33	45
Tmprss6	21	1	17	12	7	9
Il2rb	4	0	2	1	0	0
C1qtnf6	2	0	0	0	2	0
Sstr3	6	16	0	0	20	6
Rac2	0	0	7	3	0	0
Gm36738	0	0	0	0	0	0
Cyth4	1	10	1	7	8	0
Gm36877	0	0	0	0	8	4
Elfn2	263	355	209	158	236	248
1700041B01Rik	0	0	0	1	0	1
Mfng	0	0	0	0	0	2
Card10	1	0	1	1	1	4
Cdc42ep1	0	4	12	6	4	3
Lgals2	0	0	0	0	0	0
Gm26634	0	0	0	0	0	0
Gga1	31	41	44	30	44	53
Mir6955	0	0	0	0	0	0
Sh3bp1	41	17	16	13	19	19
Pdxp	148	118	64	67	128	118
Gm30368	3	0	0	3	3	0
Lgals1	0	1	1	0	0	0
Nol12	41	28	35	20	34	33
Triobp	0	1	3	0	3	3
Gm10865	0	0	0	0	1	0
Mir6956	0	0	0	0	0	0
Gm17753	5	0	5	0	3	0
H1f0	73	59	27	32	44	55
Gcat	8	1	3	0	2	3
Galr3	0	0	0	0	4	5
Gm3924	2	0	1	0	2	5
Ankrd54	22	18	12	12	16	13
Eif3l	117	168	90	49	121	81
Micall1	5	7	22	15	24	43
1700088E04Rik	7	13	1	1	0	3
Polr2f	10	18	18	5	5	3
Sox10	5	4	29	16	10	7
Gm10863	0	0	0	0	0	0
Gm30527	0	0	0	0	1	1
Pick1	32	68	72	41	73	31
Slc16a8	0	7	6	1	0	0
Lgals1-ps2	4	4	0	2	3	3
Baiap2l2	0	4	0	1	0	2
Pla2g6	17	22	20	5	11	9
Gm41358	0	0	3	1	0	0
Maff	1	6	0	4	0	0
Tmem184b	62	85	80	81	115	137
Mir1943	0	0	0	0	0	0
Csnk1e	101	102	104	74	92	125
Gm41359	2	0	0	1	0	0
Kcnj4	261	248	204	180	216	206
Kdelr3	4	4	3	7	3	3
Ddx17	618	619	893	850	986	823
Dmc1	4	1	2	14	7	1
Fam227a	42	63	57	62	84	61
Cby1	34	23	9	16	27	12
Gm30877	3	2	2	0	3	0
Tomm22	51	49	39	37	51	32
Josd1	110	80	100	54	115	65
Gtpbp1	79	54	51	50	46	61
Sun2	36	56	99	110	57	89
Gm16576	3	2	4	0	9	10
Dnal4	37	57	34	28	28	52
Gm30977	0	2	3	2	0	0
Nptxr	7	1	0	1	2	4
Npcd	0	0	0	0	0	0
Cbx6	206	260	298	254	237	229
D730005E14Rik	0	0	0	0	0	0
Apobec3	0	0	6	2	1	6
Cbx7	20	15	28	19	13	7
Pdgfb	61	83	111	52	57	51
Mir7213	0	0	0	1	0	0
Gm41361	11	4	5	9	5	8
Gm41362	0	0	0	0	0	0
Rpl3	557	601	321	230	440	419
Snord83b	113	109	39	26	59	24
Snord43	4	3	6	0	0	0
Gm31134	1	4	3	5	7	8
Syngr1	251	259	175	153	306	340
Gm31253	0	1	0	1	4	1
Tab1	10	16	14	34	21	24
Mgat3	173	197	181	100	162	151
LOC108168246	0	0	0	1	0	1
Mief1	69	85	49	49	62	105
Atf4	104	103	82	92	91	136
Rps19bp1	13	22	7	19	16	11
Cacna1i	105	134	324	198	190	263
Gm31319	0	3	13	10	7	3
Gm41363	0	0	10	5	1	0
Gm31369	0	0	0	0	0	0
Enthd1	0	0	0	0	0	0
Grap2	0	0	3	3	0	0
Mir6957	0	0	0	0	0	0
Fam83f	0	0	0	0	0	0
A430088P11Rik	0	0	0	0	0	0
Tnrc6b	407	431	503	458	483	399
Mir5113	0	0	0	0	0	0
Adsl	42	43	54	26	46	67
Sgsm3	48	54	61	45	61	98
Mkl1	121	204	207	151	178	269
4930483J18Rik	2	0	0	0	0	0
Gm31608	0	0	0	3	0	0
Gm31750	0	0	0	0	0	0
