# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-O" "-T" "12" "-g" "gene_id" "--ignoreDup" "-a" "/grid/li/data/Leo/RNA-seq/reference_genome/mm10.ncbiRefSeq.gtf" "-o" "AllSamples_featureCounts_output.txt" "CeACtrlAligned.sortedByCoord.rmdup.bam" "CeAMorAligned.sortedByCoord.rmdup.bam" "NAcCtrlAligned.sortedByCoord.rmdup.bam" "NAcMorAligned.sortedByCoord.rmdup.bam" "dStrCtrlAligned.sortedByCoord.rmdup.bam" "dStrMorAligned.sortedByCoord.rmdup.bam" 
Geneid	CeACtrlAligned.sortedByCoord.rmdup.bam	CeAMorAligned.sortedByCoord.rmdup.bam	NAcCtrlAligned.sortedByCoord.rmdup.bam	NAcMorAligned.sortedByCoord.rmdup.bam	dStrCtrlAligned.sortedByCoord.rmdup.bam	dStrMorAligned.sortedByCoord.rmdup.bam
LOC108167948	0	2	2	0	0	0
Gm35818	0	0	0	0	0	0
Gm40424	0	0	1	0	0	0
Egln3	7	3	5	5	0	1
1700104L18Rik	0	0	0	0	0	0
Gm35895	0	0	0	0	0	0
Gm7550	0	0	0	0	0	0
LOC108167971	0	0	0	0	0	0
Gm36213	0	0	0	0	0	0
Gm40425	0	0	0	0	0	0
Sptssa	10	13	12	19	22	13
Mir1892	2	0	2	1	2	1
Gm40884	0	0	0	1	2	0
Eapp	36	29	23	24	21	24
Snx6	36	33	36	35	44	44
Cfl2	48	52	105	84	95	85
Baz1a	4	10	21	15	34	40
2700097O09Rik	6	11	10	11	10	9
Srp54a	3	7	11	6	4	5
Fam177a	0	1	3	0	1	1
Gm2436	0	1	1	0	1	0
Srp54b	1	0	0	0	0	0
1700047I17Rik2	0	1	3	0	1	0
Gm2446	0	1	1	0	0	0
Srp54c	12	18	10	10	12	10
Ppp2r3c	28	17	22	23	18	14
1110008L16Rik	15	12	22	12	15	16
Psma6	69	69	66	58	56	53
Gm36571	0	0	0	0	0	1
Nfkbia	11	6	16	12	6	14
Gm36634	1	1	1	0	1	0
Aldoart2	0	0	0	0	0	0
Insm2	3	2	4	0	4	2
Ralgapa1	229	289	447	331	435	445
Brms1l	54	64	91	49	76	57
Gm36754	0	0	0	0	0	0
Gm19990	1	1	3	2	0	1
LOC108168001	0	0	0	0	1	0
Mbip	25	26	52	34	38	46
E030019B13Rik	1	2	7	3	8	3
Nkx2-1	3	5	8	5	4	6
Gm26973	0	0	1	0	0	1
C87198	0	0	0	0	0	0
Nkx2-9	0	0	0	0	0	0
Gm15524	0	0	0	0	0	0
Pax9	0	0	0	0	0	0
LOC108168002	0	0	0	0	0	0
Slc25a21	0	0	0	0	0	0
Gm30001	0	0	0	0	0	0
Gm40426	0	0	0	0	0	0
Prps1l3	19	28	29	24	18	21
Mipol1	6	7	15	3	8	7
Gm16246	1	3	1	2	0	3
Gm20016	0	0	0	4	0	0
Foxa1	0	0	0	0	0	0
Ttc6	0	0	0	0	0	0
Gm30518	0	0	0	0	0	0
4921518K17Rik	0	0	0	0	0	0
BC042761	0	0	0	0	0	0
LOC108167972	0	0	0	0	0	0
Sstr1	12	13	16	15	5	3
Clec14a	0	0	0	0	0	1
Gm30687	0	0	0	0	0	0
Gm40428	0	0	0	0	0	0
Gm40427	0	0	0	0	0	1
Sec23a	131	177	166	137	136	137
Gemin2	12	11	9	9	10	8
Trappc6b	39	51	58	30	46	41
Pnn	143	173	223	129	140	215
Mia2	0	0	0	1	0	0
Ctage5	59	69	66	49	60	81
Fbxo33	76	101	95	77	77	73
Gm40430	0	0	0	0	0	0
Gm40431	0	0	0	0	0	0
Gm32936	0	0	0	0	0	0
LOC108167369	0	0	0	0	0	0
Gm20063	1	1	4	2	10	6
Lrfn5	76	124	163	106	171	128
Spanxn4	0	0	0	0	0	0
Gm30915	0	0	0	0	0	0
Fscb	0	0	0	0	0	0
Gm527	11	8	8	8	13	5
Klhl28	32	53	64	41	44	41
Fam179b	140	162	182	144	150	149
Prpf39	113	137	196	120	154	163
Fkbp3	75	76	106	64	79	61
Fancm	29	32	41	23	33	23
Mis18bp1	1	4	3	2	2	5
Gm31063	0	0	0	0	0	0
Wdr20rt	0	0	0	0	1	0
Rpl10l	0	0	0	0	0	0
Mdga2	165	241	331	226	303	275
Gm31307	0	0	0	0	0	0
Gm31447	0	0	0	0	0	0
Rps29	27	43	46	23	40	33
Rn7s1	8	11	34	12	29	17
Lrr1	0	0	1	0	0	0
Rpl36al	19	20	20	8	16	9
Mgat2	30	37	35	30	21	23
Dnaaf2	10	5	7	13	9	10
9330151L19Rik	20	27	34	25	30	35
Pole2	7	10	7	10	10	12
Klhdc1	25	29	37	17	23	16
Klhdc2	84	81	101	82	45	51
Nemf	115	130	109	84	106	133
Rn7s2	9	9	17	10	13	8
Arf6	58	73	61	48	51	39
Gm40434	0	0	0	0	0	0
5830428M24Rik	0	0	0	0	0	0
Gm31512	0	0	0	0	0	0
LOC108168003	0	0	0	0	0	0
Vcpkmt	16	9	19	11	14	12
Sos2	98	130	115	92	96	80
Gm31679	2	6	7	4	8	3
L2hgdh	21	27	25	18	11	20
LOC108168005	0	0	3	1	0	1
Atp5s	11	14	14	12	19	18
Cdkl1	17	23	18	27	9	18
Mir681	0	0	1	0	1	0
4930512B01Rik	11	12	21	10	17	10
Map4k5	65	55	96	54	131	71
4931403G20Rik	6	10	9	7	7	11
Atl1	165	216	195	181	151	141
Gm3086	27	41	40	31	24	21
Sav1	16	15	32	18	21	22
Nin	68	76	152	109	224	200
Abhd12b	1	0	0	0	0	0
Pygl	7	8	5	1	4	2
F730035M05Rik	0	0	2	0	0	0
Gm38467	0	0	2	0	0	0
Trim9	258	327	334	285	582	500
Gm32151	2	2	5	5	5	3
Gm40435	3	2	1	2	0	1
Tmx1	85	69	81	88	65	56
Gm32219	0	0	1	1	0	0
Gm40436	0	0	0	0	0	0
Gm24474	0	0	0	0	0	0
LOC105244914	0	0	0	0	0	0
Gm32322	0	0	0	0	1	0
Gm40437	1	0	0	0	0	0
Frmd6	24	25	50	50	39	30
Gm32664	0	0	0	0	0	1
LOC108168006	0	0	0	0	0	0
Gm10457	0	0	0	0	0	0
Actr10	104	153	144	126	81	97
Psma3	89	66	80	57	81	66
3110056K07Rik	10	28	37	14	24	30
Arid4a	124	152	177	140	110	141
Tomm20l	1	4	5	6	4	3
Gm32906	0	1	0	0	1	2
Timm9	21	26	37	28	30	16
2700049A03Rik	13	26	46	48	38	33
Dact1	7	15	4	3	1	4
Gm33016	0	0	0	0	0	0
Gm40438	0	0	0	0	0	0
1700083H02Rik	0	0	0	0	0	0
4930404H11Rik	0	0	0	0	0	0
Gm40439	0	0	0	0	0	0
9630002D21Rik	1	0	0	0	0	0
LOC108168007	0	0	0	0	0	0
Daam1	102	104	147	115	95	73
Gm40887	7	10	6	6	5	8
Gm40440	0	0	0	0	0	0
Gpr135	9	4	7	12	2	3
L3hypdh	9	12	12	5	3	7
Jkamp	26	50	44	40	42	26
Ccdc175	4	2	8	4	4	4
Rtn1	866	1001	1052	979	743	684
Gm33487	0	1	0	0	0	0
Lrrc9	7	4	25	12	38	30
Pcnx4	59	77	79	90	45	44
Dhrs7	5	18	11	7	14	15
Ppm1a	256	284	269	238	258	248
Gm33785	1	0	0	0	0	0
Gm40441	0	0	0	0	0	0
4930447C04Rik	19	19	21	20	15	22
Six6	0	0	0	0	0	0
Six1	0	0	0	0	0	0
Six4	2	2	0	0	1	2
Mnat1	18	26	18	20	30	26
Trmt5	14	20	30	25	20	19
Slc38a6	16	32	52	55	48	44
D830013O20Rik	0	0	0	0	0	0
Gm40442	0	0	0	0	0	0
Gm33929	0	0	0	0	0	0
Gm34080	0	0	0	0	0	1
Gm34016	0	0	0	0	2	0
Tmem30b	0	0	0	0	0	0
2210039B01Rik	0	0	0	0	0	0
Prkch	14	27	50	51	59	45
Gm34189	1	2	4	2	5	11
Gm8075	0	0	0	0	1	0
Hif1a	173	215	218	138	138	127
Gm15283	2	5	1	3	3	9
Snapc1	41	54	61	58	33	49
Syt16	72	102	103	83	61	58
Gm40889	5	3	14	3	9	10
1700086L19Rik	128	134	115	91	98	123
Dbpht2	207	187	218	144	191	159
Gm34552	4	0	6	3	1	3
Gm39473	0	0	0	0	0	0
Kcnh5	140	164	120	81	93	92
Rhoj	1	1	2	1	0	1
Gphb5	0	0	0	0	0	0
Gm34613	0	0	0	0	0	0
Ppp2r5e	177	192	195	156	130	109
Gm34666	0	0	0	0	0	0
Wdr89	27	14	12	3	13	10
Rplp2-ps1	16	10	7	2	7	10
Gm34717	1	0	0	0	1	2
Gm40890	0	0	1	2	1	0
Sgpp1	67	61	92	81	50	59
Gm40447	1	0	1	0	0	0
Syne2	17	22	28	23	21	13
Mir5101	0	0	0	2	0	0
Esr2	1	1	1	0	1	0
Tex21	0	0	0	0	0	0
Mthfd1	30	35	63	41	51	50
Gm40444	1	4	3	1	3	0
Gm34868	2	1	5	3	3	11
Gm40443	3	5	10	10	12	8
Akap5	331	432	674	456	553	548
Zbtb25	58	67	68	52	51	55
Zbtb1	31	29	43	37	45	37
4930426I24Rik	0	5	2	2	2	5
Hspa2	36	38	18	23	22	18
Ppp1r36	0	0	0	0	1	0
Gm10451	0	0	0	1	0	1
Gm40445	0	0	0	0	0	0
Mir5135	0	0	0	0	0	0
Plekhg3	2	3	5	4	2	7
AI463170	0	0	0	0	0	0
Sptb	118	159	185	150	222	188
Churc1	6	8	11	6	5	5
Gpx2	0	0	1	0	1	0
Rab15	80	78	100	81	124	103
Gm34988	0	1	2	3	4	4
Fntb	20	34	39	20	33	28
LOC108168008	3	3	3	0	2	0
LOC108168009	2	7	4	4	9	0
Max	33	58	60	34	43	41
Gm35041	0	0	0	0	0	0
Gm35189	0	0	0	0	0	0
Gm40446	0	0	0	0	0	0
Fut8	56	97	97	62	88	72
Gm35240	0	0	0	0	0	0
Gm35440	0	0	0	0	0	0
Gm35488	0	0	0	0	0	0
Gm6657	2	2	3	4	7	3
Gphn	81	112	172	149	179	162
Fam71d	3	5	4	9	1	4
Mpp5	118	117	103	125	74	58
Atp6v1d	297	307	281	257	175	177
Eif2s1	57	46	61	33	39	31
Plek2	0	2	3	3	1	1
LOC108168010	1	0	0	0	0	0
LOC108168011	0	0	0	0	0	0
Tmem229b	12	24	22	20	19	15
Plekhh1	10	6	26	16	45	12
Gm35844	0	0	0	0	1	0
Pigh	8	8	19	11	26	12
9230116L04Rik	1	3	2	3	3	4
Arg2	13	7	11	14	22	21
Gm40462	7	9	19	7	28	33
Vti1b	77	88	80	65	84	74
Rdh11	15	15	21	12	10	6
Rdh12	2	4	0	3	3	1
Zfyve26	22	29	59	37	31	39
Rad51b	0	0	0	0	0	0
Gm36048	0	0	1	0	0	0
Gm3596	0	0	0	0	0	0
Gm36132	0	1	0	0	0	0
LOC108168012	0	0	0	0	0	0
LOC108168013	0	0	0	0	0	0
9430078K24Rik	0	0	1	0	0	0
LOC102640469	0	0	0	0	0	0
Gm36660	0	0	0	0	0	0
Gm36834	0	0	0	0	0	0
Zfp36l1	7	4	9	9	13	10
2310015A10Rik	8	15	24	14	16	17
Actn1	79	122	152	107	185	181
Gm29952	1	1	0	0	0	0
Dcaf5	61	95	80	54	65	58
Mir1843a	24	29	22	17	23	13
Scarna3b	24	29	23	17	23	14
LOC108168014	2	0	0	0	0	0
Gm30076	1	0	0	0	0	1
Exd2	31	36	58	41	40	62
2310002D06Rik	4	2	1	1	0	3
Gm26777	14	11	15	8	9	4
Galnt16	280	327	170	187	73	70
Erh	8	21	17	15	17	12
Slc39a9	62	79	73	54	44	43
Plekhd1os	0	0	0	0	0	1
Plekhd1	0	1	0	1	1	4
Ccdc177	13	21	15	15	17	13
Susd6	16	30	19	31	35	33
1700052I22Rik	1	0	0	0	0	0
Gm20337	0	0	1	1	1	0
Srsf5	71	107	159	109	141	162
Slc10a1	5	4	11	2	6	14
Smoc1	2	2	6	8	9	4
Mir3067	0	0	0	0	0	0
Slc8a3	36	49	58	57	82	65
Gm3693	2	4	7	5	11	10
LOC108168016	2	0	6	2	10	3
Cox16	21	22	37	45	32	34
Synj2bp-cox16	28	28	41	47	40	35
Gm4787	4	5	7	1	4	6
Adam4	3	3	4	4	7	7
Synj2bp	82	103	111	94	110	72
Adam21	2	6	1	6	3	3
Med6	20	21	26	11	16	24
Ttc9	37	35	45	50	56	47
Map3k9	23	30	41	36	34	33
LOC108168017	0	0	0	0	0	0
Gm30706	0	0	0	0	0	0
Pcnx	295	339	434	294	286	235
Gm30799	0	0	5	1	5	7
Sipa1l1	459	677	612	460	525	583
Gm30916	2	3	4	5	6	3
Gm31064	0	0	0	0	0	0
Gm30966	0	0	0	0	0	0
Rgs6	10	20	13	23	14	13
1700085C21Rik	0	0	0	1	0	0
Gm31308	0	2	1	1	1	2
Gm31187	0	1	0	0	1	1
LOC105244955	0	0	0	1	0	0
Dpf3	0	1	6	0	0	1
Dcaf4	5	15	18	11	26	16
Zfyve1	37	49	48	53	46	49
Rbm25	261	282	337	238	257	314
Psen1	84	90	119	98	98	88
Papln	23	20	23	20	24	29
Numb	29	35	56	27	45	47
LOC108168018	10	19	19	8	24	20
Gm31386	0	0	0	1	0	0
Heatr4	9	8	8	7	5	4
2410016O06Rik	8	7	6	11	6	4
Acot2	3	7	4	0	1	1
Acot1	1	2	2	2	1	6
Gm40474	0	1	0	1	2	0
Acot4	2	1	5	2	2	3
Acot3	0	1	6	0	0	0
Acot5	0	1	0	0	0	0
Acot6	6	4	6	3	5	5
Dnal1	105	145	139	105	111	99
Pnma1	6	4	7	2	3	5
Elmsan1	43	43	51	42	22	26
LOC108168019	0	0	5	4	1	4
Gm40476	1	0	0	1	0	0
Gm40475	2	5	6	6	10	3
Gm19327	7	3	4	9	8	9
Gm31513	0	2	1	0	7	5
LOC108167961	0	0	2	0	0	0
Ptgr2	22	26	52	38	30	40
Zfp410	21	20	43	31	29	33
Fam161b	11	25	21	17	21	17
Coq6	5	14	16	15	19	10
Entpd5	10	20	16	17	14	16
Bbof1	30	23	53	35	42	54
Rnf113a2	11	13	8	12	10	16
Aldh6a1	35	42	57	52	73	45
Lin52	9	12	20	16	12	21
Vsx2	0	0	1	0	0	1
Abcd4	0	6	8	6	8	8
Vrtn	1	3	0	0	0	0
Syndig1l	26	38	40	31	133	99
Npc2	11	15	21	14	23	16
Isca2	11	16	18	11	17	11
Ltbp2	1	3	4	0	4	3
D030025P21Rik	0	0	0	0	2	0
Arel1	252	291	288	238	319	280
Fcf1	19	7	11	10	11	15
Ylpm1	279	318	400	286	328	375
LOC102634300	25	48	58	42	76	73
Prox2	5	14	14	10	19	15
Dlst	51	59	88	62	75	57
Rps6kl1	8	18	15	15	25	30
Pgf	3	1	0	0	0	0
Eif2b2	15	17	18	15	22	12
Mlh3	66	89	93	75	49	74
Mir6938	0	0	0	0	0	0
Acyp1	8	7	3	1	6	2
Zc2hc1c	2	8	3	8	2	3
Nek9	32	35	56	34	61	58
Tmed10	141	170	189	132	131	103
LOC105242442	0	0	0	0	0	1
Gm40477	0	0	0	0	0	0
Gm38543	0	1	1	0	0	0
Fos	15	13	16	9	7	19
Gm32296	0	0	0	0	0	0
Gm32348	0	0	1	2	1	0
Jdp2	10	19	12	15	11	5
Batf	0	0	0	0	0	0
Mfsd7c	0	1	4	2	8	5
Gm40478	0	0	0	0	0	0
0610007P14Rik	20	43	35	22	22	21
Ttll5	31	41	40	29	26	40
Tgfb3	17	10	20	13	14	10
Ift43	2	7	9	13	8	6
Gm805	0	0	0	0	0	0
Gm32473	0	0	0	0	0	0
Gm40481	0	0	0	0	0	0
Gpatch2l	35	36	61	43	50	47
Gm32666	0	0	0	0	0	0
Gm40483	0	0	0	0	0	0
Esrrb	1	2	0	0	0	0
Vash1	8	14	16	7	8	12
Angel1	4	7	3	2	1	7
Gm32755	0	0	0	0	0	0
Lrrc74a	0	0	0	0	0	0
Gm32806	0	0	0	0	0	0
Gm40491	0	0	0	0	0	0
Irf2bpl	82	84	81	76	57	79
Gm26698	0	2	3	0	3	1
Gm32934	6	5	6	2	1	4
Cipc	87	113	130	121	139	159
Zdhhc22	36	40	17	15	10	8
Tmem63c	38	45	70	56	57	58
Ngb	14	18	0	1	0	0
Pomt2	25	24	40	27	28	15
Gstz1	21	22	33	24	27	14
Gm6566	10	7	10	12	4	8
Tmed8	87	122	93	79	73	75
Gm40496	11	11	15	7	16	13
Samd15	6	8	15	3	16	5
Noxred1	0	4	4	3	4	5
Vipas39	29	33	51	49	57	44
Ahsa1	57	70	52	47	54	39
Ism2	0	0	0	0	0	0
Sptlc2	40	51	48	38	39	34
Gm33444	3	2	9	5	4	7
Alkbh1	9	20	23	16	15	10
Mir3068	9	10	9	4	5	4
Nrp	12	14	10	18	2	10
Slirp	21	19	14	13	10	10
Snw1	90	109	88	69	65	77
Gm8300	0	0	0	0	0	0
Oog1	0	0	0	0	0	0
Gm4027	0	0	0	0	0	0
Gm16381	0	0	0	0	0	0
Gm21319	0	0	0	0	0	0
Gm21936	0	0	0	0	0	0
BB287469	0	0	0	0	0	0
Gm2001	0	0	0	0	0	0
Gm1995	0	0	0	0	0	0
Gm2016	0	0	0	0	0	0
Gm2022	0	0	0	0	0	0
Gm2042	0	0	0	0	0	0
Gm2046	0	0	0	0	0	0
LOC102636530	0	0	0	0	0	0
Gm10436	0	0	0	0	0	0
Gm5662	0	0	0	0	0	0
Gm7104	0	0	0	0	0	0
Gm5039	0	0	0	0	0	0
LOC100503047	0	0	0	0	0	0
Adck1	7	17	22	20	16	34
3200001D21Rik	1	1	5	3	4	3
4930473H19Rik	3	10	9	8	6	10
Nrxn3	554	808	1227	945	1007	1022
Gm40537	1	9	18	8	17	20
Gm40538	0	0	0	0	0	0
Dio2	11	28	36	22	54	47
Gm26512	0	0	3	0	2	4
Cep128	11	9	11	6	19	15
5430427M07Rik	0	0	0	0	2	0
Tshr	0	3	1	0	0	0
Gm40541	0	1	0	0	0	0
Gtf2a1	122	156	188	122	125	114
Ston2	39	46	32	20	18	23
Gm16876	0	3	1	1	0	4
Gm34718	0	0	0	1	0	0
Sel1l	334	366	377	299	283	231
Gm40548	0	0	0	0	0	0
Gm40902	0	0	0	0	0	0
Gm40892	0	0	0	0	0	0
Gm34869	0	0	0	0	0	0
4930559C10Rik	0	0	0	0	0	0
Mir8099-2	0	0	0	0	0	0
Gm40551	0	0	0	0	0	0
Flrt2	138	144	172	113	142	106
1700019M22Rik	0	0	0	0	0	0
Gm40552	0	0	0	0	0	0
Gm35274	0	0	0	0	0	0
Gm35326	0	0	0	0	0	0
Galc	29	39	59	42	44	47
Gpr65	0	0	0	0	0	0
Kcnk10	8	23	20	8	8	6
Gm40893	2	1	1	0	0	2
Spata7	31	32	41	21	28	20
Ptpn21	4	10	10	9	8	8
Zc3h14	96	135	168	126	131	150
Eml5	157	283	436	257	591	565
Gm35463	11	10	16	7	9	18
Ttc8	20	26	32	34	31	51
Gm40554	0	0	0	0	0	0
4930474N09Rik	0	0	0	0	0	0
Foxn3	48	44	61	50	38	45
LOC105245439	5	9	11	5	12	4
LOC108168022	5	11	8	1	9	15
3300002A11Rik	3	0	0	1	1	1
Gm26839	0	0	0	0	0	0
Gm35644	0	0	0	0	0	0
1700064M15Rik	2	1	1	0	0	0
LOC105245440	1	0	0	0	0	0
Efcab11	0	0	0	0	0	0
Tdp1	12	28	21	29	21	22
Gm40556	3	0	7	3	5	2
Kcnk13	2	9	3	7	9	4
Psmc1	63	82	65	48	53	42
Nrde2	23	30	37	23	45	27
Gm36263	0	0	0	0	0	0
Gm10433	1	0	2	0	1	0
Calm1	1884	2194	2055	1598	1977	1869
Gm40557	2	1	1	2	1	0
Gm10432	23	25	31	16	13	15
Ttc7b	123	156	163	114	134	137
Gm36375	7	8	19	8	21	19
Rps6ka5	100	131	111	95	118	110
Gm40558	0	0	0	0	0	0
9030617O03Rik	5	8	5	9	6	11
Gpr68	5	7	6	2	4	4
Gm36572	0	1	1	0	0	1
LOC108167351	0	1	2	4	4	1
Ccdc88c	19	51	77	60	149	150
A630072L19Rik	3	7	5	5	10	14
Gm36756	5	10	11	7	24	22
Mir1190	0	0	0	0	1	1
Smek1	87	124	165	122	127	144
D130020L05Rik	8	18	23	17	10	14
Kif4-ps	0	0	0	0	0	0
Catsperb	0	0	0	0	0	0
Tc2n	0	1	1	0	1	0
Fbln5	0	0	0	2	10	7
Trip11	96	125	171	121	108	144
Gm20036	6	2	8	5	3	4
Atxn3	48	59	74	52	49	59
LOC102631912	28	36	29	23	13	25
Cpsf2	47	68	60	56	59	56
Slc24a4	104	115	159	145	158	169
Rin3	1	0	0	0	0	1
Lgmn	45	64	65	56	43	32
Gm30198	0	0	0	0	0	0
Golga5	37	50	55	47	38	38
Chga	130	162	139	130	73	44
Itpk1	13	22	30	22	19	16
Mir1936	0	0	0	0	0	0
Gm40559	3	11	6	8	7	4
Gm30296	0	1	2	0	1	0
Moap1	39	44	53	49	23	22
Gm20604	40	46	54	48	22	22
Tmem251	10	17	16	10	6	12
AK010878	11	6	6	1	4	3
Ubr7	44	44	41	22	40	31
Btbd7	52	52	75	56	65	67
Cox8c	0	0	0	0	0	0
Unc79	211	265	405	240	449	478
LOC108168024	12	32	71	30	82	92
Prima1	7	12	13	14	46	29
Fam181a	0	1	0	0	0	0
Gm29508	0	0	0	0	0	0
Asb2	0	0	0	2	3	7
Gm15523	0	0	0	0	1	1
Otub2	10	18	12	13	16	22
Ddx24	252	315	263	239	210	202
Gm40560	0	0	0	0	0	0
Ifi27l2a	2	0	0	0	1	0
Ifi27	5	1	3	3	3	3
Ifi27l2b	0	0	0	0	0	0
Ppp4r4	61	68	116	85	184	143
Serpina10	0	0	1	1	4	3
Serpina6	0	0	0	0	0	0
Serpina16	0	0	0	0	1	0
LOC108168025	0	0	0	0	0	0
Serpina1f	0	0	0	0	0	0
Serpina1b	0	0	0	0	0	0
Serpina1d	0	0	0	0	0	0
Serpina1a	0	0	0	0	0	0
Serpina1c	0	0	0	0	0	0
Serpina1e	0	0	0	0	0	0
Serpina11	0	0	0	0	0	0
Serpina9	3	6	46	13	49	35
Serpina12	0	0	0	0	0	0
Gm31271	0	0	0	0	0	0
Serpina4-ps1	0	0	0	0	0	0
Serpina5	0	0	0	0	0	0
Serpina3a	0	0	0	0	0	0
Serpina3b	0	1	0	0	0	0
Serpina3c	0	0	0	0	0	0
Serpina3f	0	0	0	0	0	0
Serpina3g	0	0	0	0	0	0
Serpina3h	0	2	0	0	0	0
Serpina3i	0	0	0	1	0	0
Serpina3j	0	0	0	0	0	0
Serpina3k	0	0	0	0	0	0
Serpina3m	0	0	0	0	0	0
Gm40561	0	0	0	0	0	0
Serpina3n	4	4	3	1	1	2
Gm40562	0	0	0	0	0	0
Gsc	0	0	0	0	0	0
Gm1000	0	0	0	0	0	0
Gm31573	0	0	0	0	0	0
Dicer1	102	115	161	102	137	123
Clmn	49	85	37	45	37	32
Syne3	0	0	0	0	2	3
Gm31742	0	0	0	0	0	1
LOC108168027	0	0	0	3	1	2
Snhg10	3	0	3	5	2	3
Scarna13	279	382	343	235	326	280
Mir3069	141	167	147	112	156	139
Glrx5	11	9	17	5	8	3
LOC108168026	2	5	5	1	2	2
Gm31884	0	0	0	0	0	0
Gm31829	1	0	1	1	1	2
Gm32062	0	0	0	0	0	0
Tcl1b2	0	0	0	0	0	0
Tcl1b1	0	0	0	0	0	0
Tcl1b5	0	0	0	0	0	0
Tcl1b3	0	0	0	0	0	0
Tcl1b4	0	0	0	0	0	0
Tcl1	0	0	0	0	0	0
Tunar	35	33	31	28	9	8
Gm2721	0	2	0	0	1	0
LOC108168028	4	5	2	1	1	1
D430019H16Rik	109	152	141	134	127	130
Gm40566	36	48	34	26	33	42
AU015791	0	0	0	0	0	0
Gm40565	0	0	0	0	0	0
Bdkrb2	1	0	0	0	0	0
Bdkrb1	0	0	0	0	1	2
Atg2b	99	169	157	112	126	107
Gskip	27	49	32	20	13	18
Ak7	5	5	9	2	3	2
Papola	116	216	280	187	269	256
Gm19554	0	0	0	0	0	1
Gm32370	2	1	1	0	0	0
LOC108168029	0	0	0	0	0	0
Vrk1	15	28	46	32	59	50
LOC108168030	0	4	4	4	5	7
Gm32723	0	0	1	0	0	1
Gm32635	0	0	6	0	0	2
Gm32776	0	0	1	1	1	0
Gm32830	0	0	0	0	0	1
1700121N20Rik	0	0	0	0	0	0
Gm32876	0	1	1	1	1	3
Gm32935	0	1	0	1	1	0
LOC108167963	0	0	1	0	0	0
4933406K04Rik	0	0	0	0	0	0
Gm40569	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0
Gm16087	0	0	0	0	0	0
Gm16086	0	1	0	0	0	0
LOC108167964	0	0	0	0	1	0
Gm33236	0	0	0	0	0	2
4930465M20Rik	0	0	1	1	1	1
Gm33341	0	0	0	0	0	0
Bcl11b	337	449	521	386	684	624
Setd3	93	103	118	94	119	104
Ccnk	25	42	50	38	33	42
Ccdc85c	20	42	41	48	67	59
Hhipl1	1	4	4	6	5	3
Cyp46a1	134	152	131	133	190	157
Eml1	25	30	58	45	64	40
Gm16596	5	8	20	11	18	10
Evl	74	79	81	70	43	50
Mir342	1	0	0	0	0	2
Gm40571	3	6	11	5	10	6
Degs2	30	31	31	29	21	23
Gm33467	0	3	4	5	1	2
Gm40572	0	0	0	0	0	0
Gm33628	1	0	1	0	0	1
Gm33682	3	2	1	3	2	2
Gm40573	4	0	4	3	1	6
Gm34220	15	12	18	13	15	18
Yy1	42	53	59	58	66	48
Slc25a29	2	8	11	9	6	8
Gm33813	7	8	6	8	3	9
Mir345	0	3	1	1	1	1
Slc25a47	1	0	0	0	0	0
Wars	50	56	60	63	39	48
Wdr25	4	17	10	10	3	9
Begain	26	33	54	47	34	30
Dlk1	104	122	230	186	22	16
Gm34081	0	4	2	8	3	7
Gm34017	1	2	1	3	4	2
Meg3	2122	3194	5178	3457	3346	3571
Mir1906-1	27	27	45	58	39	30
Mir770	13	18	26	20	24	21
Mir673	0	0	0	0	0	1
Mir493	0	0	4	1	4	1
Mir337	0	1	5	2	4	2
Mir3544	0	1	5	1	1	2
Mir540	0	0	1	1	0	0
Mir665	0	0	2	1	4	3
Mir3070a	1	1	0	1	2	4
Mir3070b	1	2	3	1	1	1
Rtl1	43	61	98	63	89	72
Mir431	4	4	2	2	6	3
6430411K18Rik	8	23	39	17	35	30
Mir433	0	3	8	3	4	3
Mir127	2	2	4	3	4	1
Mir434	2	2	1	1	1	2
Mir432	1	1	0	0	0	0
Mir3071	3	2	5	0	5	4
Mir136	2	2	5	0	4	2
Rian	958	1210	1559	1158	1375	1206
Mir341	6	9	19	7	10	13
Mir1188	4	7	15	7	11	11
Mir370	0	1	1	1	1	1
AF357425	14	21	16	10	15	11
AF357426	17	22	24	21	20	18
DQ267100	5	12	13	8	8	2
AF357359	155	132	174	93	91	87
DQ267101	0	1	2	0	3	5
AF357355	2	3	2	3	5	3
DQ267102	4	1	6	4	1	6
Mir882	2	0	0	0	1	0
Mir379	0	0	1	0	0	1
Mir411	0	0	0	1	1	0
Mir299a	1	0	1	2	2	0
Mir299b	1	0	0	2	1	0
Mir380	0	0	0	0	0	1
Mir1197	0	1	1	2	1	1
Mir323	0	0	1	2	1	0
Mir758	0	0	0	1	0	0
Mir329	0	0	0	0	0	0
Mir494	0	0	1	0	0	2
Mir679	1	1	5	0	1	3
Mir1193	0	0	4	1	0	3
Mir666	0	0	1	2	2	1
Mir543	0	0	1	0	0	1
Mir495	0	0	1	1	0	0
Mir667	0	1	2	0	1	1
Mir376c	1	0	2	1	2	1
Mir654	0	0	1	0	0	0
Mir376b	0	3	0	2	0	0
Mir376a	0	0	2	0	1	1
Mir300	2	2	0	1	3	1
Mir381	0	0	6	1	0	9
